entite_politique,transfuges_entrants,transfuges_sortants,date
Coalition avenir Québec,30,20,2023-06-08
Parti conservateur du Québec,3,6,2023-06-08
Parti libéral du Québec,7,16,2023-06-08
Parti québécois,25,12,2023-06-08
Québec solidaire,1,12,2023-06-08
Coalition avenir Québec,30,20,2023-06-07
Parti conservateur du Québec,3,6,2023-06-07
Parti libéral du Québec,7,16,2023-06-07
Parti québécois,25,12,2023-06-07
Québec solidaire,1,12,2023-06-07
Coalition avenir Québec,30,20,2023-06-06
Parti conservateur du Québec,3,6,2023-06-06
Parti libéral du Québec,7,16,2023-06-06
Parti québécois,25,12,2023-06-06
Québec solidaire,1,12,2023-06-06
Coalition avenir Québec,30,20,2023-06-05
Parti conservateur du Québec,3,6,2023-06-05
Parti libéral du Québec,7,16,2023-06-05
Parti québécois,25,12,2023-06-05
Québec solidaire,1,12,2023-06-05
Coalition avenir Québec,30,20,2023-06-04
Parti conservateur du Québec,3,5,2023-06-04
Parti libéral du Québec,7,16,2023-06-04
Parti québécois,24,12,2023-06-04
Québec solidaire,1,12,2023-06-04
Coalition avenir Québec,30,20,2023-06-03
Parti conservateur du Québec,3,5,2023-06-03
Parti libéral du Québec,7,16,2023-06-03
Parti québécois,24,12,2023-06-03
Québec solidaire,1,12,2023-06-03
Coalition avenir Québec,30,20,2023-06-02
Parti conservateur du Québec,3,5,2023-06-02
Parti libéral du Québec,7,16,2023-06-02
Parti québécois,24,12,2023-06-02
Québec solidaire,1,12,2023-06-02
Coalition avenir Québec,29,20,2023-06-01
Parti conservateur du Québec,3,5,2023-06-01
Parti libéral du Québec,7,16,2023-06-01
Parti québécois,24,11,2023-06-01
Québec solidaire,1,12,2023-06-01
Coalition avenir Québec,28,19,2023-05-31
Parti conservateur du Québec,3,5,2023-05-31
Parti libéral du Québec,7,16,2023-05-31
Parti québécois,23,10,2023-05-31
Québec solidaire,1,12,2023-05-31
Coalition avenir Québec,27,18,2023-05-30
Parti conservateur du Québec,3,5,2023-05-30
Parti libéral du Québec,7,16,2023-05-30
Parti québécois,22,10,2023-05-30
Québec solidaire,1,11,2023-05-30
Coalition avenir Québec,27,17,2023-05-29
Parti conservateur du Québec,2,4,2023-05-29
Parti libéral du Québec,7,16,2023-05-29
Parti québécois,21,10,2023-05-29
Québec solidaire,1,11,2023-05-29
Coalition avenir Québec,27,16,2023-05-28
Parti conservateur du Québec,2,4,2023-05-28
Parti libéral du Québec,7,16,2023-05-28
Parti québécois,20,10,2023-05-28
Québec solidaire,1,11,2023-05-28
Coalition avenir Québec,27,16,2023-05-27
Parti conservateur du Québec,2,4,2023-05-27
Parti libéral du Québec,7,16,2023-05-27
Parti québécois,20,10,2023-05-27
Québec solidaire,1,11,2023-05-27
Coalition avenir Québec,27,16,2023-05-26
Parti conservateur du Québec,2,4,2023-05-26
Parti libéral du Québec,7,16,2023-05-26
Parti québécois,20,10,2023-05-26
Québec solidaire,1,11,2023-05-26
Coalition avenir Québec,27,16,2023-05-25
Parti conservateur du Québec,2,4,2023-05-25
Parti libéral du Québec,7,16,2023-05-25
Parti québécois,20,10,2023-05-25
Québec solidaire,1,11,2023-05-25
Coalition avenir Québec,27,16,2023-05-24
Parti conservateur du Québec,2,4,2023-05-24
Parti libéral du Québec,7,16,2023-05-24
Parti québécois,20,10,2023-05-24
Québec solidaire,1,11,2023-05-24
Coalition avenir Québec,24,16,2023-05-23
Parti conservateur du Québec,2,4,2023-05-23
Parti libéral du Québec,7,15,2023-05-23
Parti québécois,20,8,2023-05-23
Québec solidaire,1,11,2023-05-23
Coalition avenir Québec,24,16,2023-05-22
Parti conservateur du Québec,2,4,2023-05-22
Parti libéral du Québec,7,15,2023-05-22
Parti québécois,20,8,2023-05-22
Québec solidaire,1,11,2023-05-22
Coalition avenir Québec,24,16,2023-05-21
Parti conservateur du Québec,3,4,2023-05-21
Parti libéral du Québec,7,15,2023-05-21
Parti québécois,20,9,2023-05-21
Québec solidaire,1,11,2023-05-21
Coalition avenir Québec,24,16,2023-05-20
Parti conservateur du Québec,3,4,2023-05-20
Parti libéral du Québec,7,15,2023-05-20
Parti québécois,20,9,2023-05-20
Québec solidaire,1,11,2023-05-20
Coalition avenir Québec,24,16,2023-05-19
Parti conservateur du Québec,3,4,2023-05-19
Parti libéral du Québec,7,15,2023-05-19
Parti québécois,20,9,2023-05-19
Québec solidaire,1,11,2023-05-19
Coalition avenir Québec,24,16,2023-05-18
Parti conservateur du Québec,3,4,2023-05-18
Parti libéral du Québec,7,15,2023-05-18
Parti québécois,20,9,2023-05-18
Québec solidaire,1,11,2023-05-18
Coalition avenir Québec,22,17,2023-05-17
Parti conservateur du Québec,4,4,2023-05-17
Parti libéral du Québec,7,14,2023-05-17
Parti québécois,20,8,2023-05-17
Québec solidaire,1,11,2023-05-17
Coalition avenir Québec,22,17,2023-05-16
Parti conservateur du Québec,4,4,2023-05-16
Parti libéral du Québec,7,14,2023-05-16
Parti québécois,20,8,2023-05-16
Québec solidaire,1,11,2023-05-16
Coalition avenir Québec,22,17,2023-05-15
Parti conservateur du Québec,4,4,2023-05-15
Parti libéral du Québec,7,14,2023-05-15
Parti québécois,20,8,2023-05-15
Québec solidaire,1,11,2023-05-15
Coalition avenir Québec,22,17,2023-05-14
Parti conservateur du Québec,4,4,2023-05-14
Parti libéral du Québec,7,14,2023-05-14
Parti québécois,20,8,2023-05-14
Québec solidaire,1,11,2023-05-14
Coalition avenir Québec,22,17,2023-05-13
Parti conservateur du Québec,4,4,2023-05-13
Parti libéral du Québec,7,14,2023-05-13
Parti québécois,20,8,2023-05-13
Québec solidaire,1,11,2023-05-13
Coalition avenir Québec,23,17,2023-05-12
Parti conservateur du Québec,4,4,2023-05-12
Parti libéral du Québec,7,14,2023-05-12
Parti québécois,20,9,2023-05-12
Québec solidaire,1,11,2023-05-12
Coalition avenir Québec,23,15,2023-05-11
Parti conservateur du Québec,4,4,2023-05-11
Parti libéral du Québec,5,14,2023-05-11
Parti québécois,20,9,2023-05-11
Québec solidaire,1,11,2023-05-11
Coalition avenir Québec,23,14,2023-05-10
Parti conservateur du Québec,3,4,2023-05-10
Parti libéral du Québec,5,14,2023-05-10
Parti québécois,19,8,2023-05-10
Québec solidaire,1,11,2023-05-10
Coalition avenir Québec,23,14,2023-05-09
Parti conservateur du Québec,3,4,2023-05-09
Parti libéral du Québec,5,14,2023-05-09
Parti québécois,19,8,2023-05-09
Québec solidaire,1,11,2023-05-09
Coalition avenir Québec,23,14,2023-05-08
Parti conservateur du Québec,3,4,2023-05-08
Parti libéral du Québec,5,14,2023-05-08
Parti québécois,19,8,2023-05-08
Québec solidaire,1,11,2023-05-08
Coalition avenir Québec,20,14,2023-05-07
Parti conservateur du Québec,3,4,2023-05-07
Parti libéral du Québec,5,12,2023-05-07
Parti québécois,19,7,2023-05-07
Québec solidaire,1,11,2023-05-07
Coalition avenir Québec,20,14,2023-05-06
Parti conservateur du Québec,3,4,2023-05-06
Parti libéral du Québec,5,12,2023-05-06
Parti québécois,19,7,2023-05-06
Québec solidaire,1,11,2023-05-06
Coalition avenir Québec,19,14,2023-05-05
Parti conservateur du Québec,3,4,2023-05-05
Parti libéral du Québec,5,12,2023-05-05
Parti québécois,18,7,2023-05-05
Québec solidaire,1,9,2023-05-05
Coalition avenir Québec,18,13,2023-05-04
Parti conservateur du Québec,3,4,2023-05-04
Parti libéral du Québec,4,11,2023-05-04
Parti québécois,18,7,2023-05-04
Québec solidaire,1,9,2023-05-04
Coalition avenir Québec,18,13,2023-05-03
Parti conservateur du Québec,3,4,2023-05-03
Parti libéral du Québec,4,11,2023-05-03
Parti québécois,18,7,2023-05-03
Québec solidaire,1,9,2023-05-03
Coalition avenir Québec,17,12,2023-05-02
Parti conservateur du Québec,2,4,2023-05-02
Parti libéral du Québec,3,10,2023-05-02
Parti québécois,18,7,2023-05-02
Québec solidaire,1,8,2023-05-02
Coalition avenir Québec,17,11,2023-04-30
Parti conservateur du Québec,2,4,2023-04-30
Parti libéral du Québec,3,10,2023-04-30
Parti québécois,18,7,2023-04-30
Coalition avenir Québec,17,11,2023-04-27
Parti conservateur du Québec,2,4,2023-04-27
Parti libéral du Québec,3,10,2023-04-27
Parti québécois,18,7,2023-04-27
